,Unnamed: 0,sub,roi,phase,acc,shuff_acc,pval,roi_group
0,0,1,LO,E,0.57,0.4974,0.28,object
1,1,1,LO,R,0.4349999999999999,0.50285,0.79,object
2,2,1,PFS,E,0.4600000000000001,0.5038999999999999,0.62,object
3,3,1,PFS,R,0.45,0.50505,0.78,object
4,4,1,PPA,E,0.515,0.488,0.38,scene
5,5,1,PPA,R,0.525,0.5084000000000001,0.42,scene
6,6,1,RSC,E,0.55,0.5085999999999999,0.31,scene
7,7,1,RSC,R,0.375,0.4937,0.92,scene
8,8,1,OPA,E,0.45,0.50775,0.74,scene
9,9,1,OPA,R,0.395,0.4803499999999999,0.81,scene
10,10,1,headbody,E,0.5549999999999999,0.4915500000000001,0.24,hpc
11,11,1,headbody,R,0.4050000000000001,0.51745,0.88,hpc
12,12,1,tail,E,0.7,0.5153,0.01,hpc
13,13,1,tail,R,0.37,0.4967,0.94,hpc
14,14,1,PRC,E,0.52,0.4842,0.36,none
15,15,1,PRC,R,0.43,0.4952499999999999,0.78,none
16,16,1,EVC,E,0.54,0.494,0.27,visual
17,17,1,EVC,R,0.45,0.50325,0.73,visual
18,18,2,LO,E,0.64,0.5008,0.06,object
19,19,2,LO,R,0.5599999999999999,0.4934,0.23,object
20,20,2,PFS,E,0.6900000000000001,0.5238,0.02,object
21,21,2,PFS,R,0.47,0.5086999999999999,0.65,object
22,22,2,PPA,E,0.76,0.5019500000000001,0.0,scene
23,23,2,PPA,R,0.4549999999999999,0.50485,0.72,scene
24,24,2,RSC,E,0.61,0.5037,0.12,scene
25,25,2,RSC,R,0.54,0.5045499999999999,0.36,scene
26,26,2,OPA,E,0.545,0.50925,0.35,scene
27,27,2,OPA,R,0.61,0.50105,0.11,scene
28,28,2,headbody,E,0.44,0.5008999999999999,0.8,hpc
29,29,2,headbody,R,0.275,0.5025,1.0,hpc
30,30,2,tail,E,0.545,0.4946,0.24,hpc
31,31,2,tail,R,0.245,0.5028499999999999,1.0,hpc
32,32,2,PRC,E,0.375,0.5041,0.95,none
33,33,2,PRC,R,0.5800000000000001,0.48705,0.16,none
34,34,2,EVC,E,0.61,0.50235,0.07,visual
35,35,2,EVC,R,0.4599999999999999,0.5015,0.66,visual
36,36,3,LO,E,0.7083333333333334,0.4924166666666666,0.01,object
37,37,3,LO,R,0.3333333333333333,0.4857499999999999,0.93,object
38,38,3,PFS,E,0.7083333333333333,0.5024166666666667,0.0,object
39,39,3,PFS,R,0.5333333333333334,0.5140833333333333,0.4,object
40,40,3,PPA,E,0.7583333333333333,0.5017499999999999,0.0,scene
41,41,3,PPA,R,0.4,0.5003333333333334,0.85,scene
42,42,3,RSC,E,0.525,0.5044166666666667,0.36,scene
43,43,3,RSC,R,0.55,0.499,0.34,scene
44,44,3,OPA,E,0.55,0.4832499999999999,0.24,scene
45,45,3,OPA,R,0.4,0.5038333333333334,0.83,scene
46,46,3,headbody,E,0.5833333333333334,0.4984999999999999,0.23,hpc
47,47,3,headbody,R,0.2583333333333333,0.5010833333333333,0.99,hpc
48,48,3,tail,E,0.5833333333333333,0.5010833333333333,0.25,hpc
49,49,3,tail,R,0.4,0.5026666666666667,0.85,hpc
50,50,3,PRC,E,0.4416666666666666,0.4864166666666666,0.74,none
51,51,3,PRC,R,0.3916666666666666,0.50575,0.85,none
52,52,3,EVC,E,0.6916666666666667,0.4964166666666667,0.02,visual
53,53,3,EVC,R,0.3583333333333333,0.507,0.95,visual
54,54,4,LO,E,0.5,0.50395,0.48,object
55,55,4,LO,R,0.415,0.4791499999999999,0.82,object
56,56,4,PFS,E,0.54,0.4927500000000001,0.28,object
57,57,4,PFS,R,0.4,0.5077,0.84,object
58,58,4,PPA,E,0.485,0.4966,0.52,scene
59,59,4,PPA,R,0.555,0.48105,0.21,scene
60,60,4,RSC,E,0.4549999999999999,0.4967,0.68,scene
61,61,4,RSC,R,0.415,0.48695,0.78,scene
62,62,4,headbody,E,0.555,0.5024,0.26,hpc
63,63,4,headbody,R,0.485,0.49605,0.54,hpc
64,64,4,tail,E,0.515,0.4946,0.38,hpc
65,65,4,tail,R,0.665,0.4865499999999999,0.01,hpc
66,66,4,PRC,E,0.5050000000000001,0.52095,0.56,none
67,67,4,PRC,R,0.48,0.4916,0.57,none
68,68,4,EVC,E,0.515,0.4831999999999999,0.4,visual
69,69,4,EVC,R,0.515,0.50665,0.49,visual
70,70,5,LO,E,0.605,0.5121000000000001,0.18,object
71,71,5,LO,R,0.365,0.4943499999999999,0.94,object
72,72,5,PFS,E,0.45,0.4808,0.65,object
73,73,5,PFS,R,0.535,0.4986,0.4,object
74,74,5,PPA,E,0.675,0.48945,0.04,scene
75,75,5,PPA,R,0.51,0.49845,0.49,scene
76,76,5,RSC,E,0.5,0.4920500000000001,0.47,scene
77,77,5,RSC,R,0.4949999999999999,0.4917500000000001,0.45,scene
78,78,5,OPA,E,0.5700000000000001,0.4841499999999999,0.2,scene
79,79,5,OPA,R,0.6050000000000001,0.503,0.09,scene
80,80,5,headbody,E,0.38,0.5056,0.94,hpc
81,81,5,headbody,R,0.35,0.4962999999999999,0.94,hpc
82,82,5,tail,E,0.4349999999999999,0.50855,0.86,hpc
83,83,5,tail,R,0.4599999999999999,0.5063,0.64,hpc
84,84,5,PRC,E,0.465,0.4804,0.61,none
85,85,5,PRC,R,0.595,0.4958999999999999,0.1,none
86,86,5,EVC,E,0.675,0.494,0.04,visual
87,87,5,EVC,R,0.44,0.4924000000000001,0.72,visual
88,88,6,LO,E,0.655,0.4878,0.03,object
89,89,6,LO,R,0.38,0.49755,0.87,object
90,90,6,PFS,E,0.725,0.4971,0.0,object
91,91,6,PFS,R,0.495,0.50785,0.51,object
92,92,6,PPA,E,0.755,0.4986,0.0,scene
93,93,6,PPA,R,0.375,0.49785,0.94,scene
94,94,6,headbody,E,0.43,0.4977000000000001,0.78,hpc
95,95,6,headbody,R,0.495,0.5049,0.58,hpc
96,96,6,tail,E,0.49,0.4930000000000001,0.52,hpc
97,97,6,tail,R,0.4349999999999999,0.4977499999999999,0.72,hpc
98,98,6,PRC,E,0.605,0.4876000000000001,0.11,none
99,99,6,PRC,R,0.4050000000000001,0.5087,0.86,none
100,100,6,EVC,E,0.765,0.49915,0.0,visual
