,category,sub,phase,high_level,mid_level,fine_level
0,Ebignottoolchair,1,E,big,nottool,chair
1,Ebignottoollamppost,1,E,big,nottool,lamppost
2,Ebignottooltv,1,E,big,nottool,tv
3,Ebigtoolguitar,1,E,big,tool,guitar
4,Ebigtoolleafblower,1,E,big,tool,leafblower
5,Ebigtoolumbrella,1,E,big,tool,umbrella
6,Eclosedmanmadebathroom,1,E,closed,manmade,bathroom
7,Eclosedmanmadeconferencehall,1,E,closed,manmade,conferencehall
8,Eclosedmanmadelivingroom,1,E,closed,manmade,livingroom
9,Eclosednaturalcave,1,E,closed,natural,cave
10,Eclosednaturalforestccanopy,1,E,closed,natural,forestccanopy
11,Eclosednaturalicecave,1,E,closed,natural,icecave
12,Eopenmanmadecity,1,E,open,manmade,city
13,Eopenmanmadefarmhouse,1,E,open,manmade,farmhouse
14,Eopenmanmadesuburbs,1,E,open,manmade,suburbs
15,Eopennaturalgarden,1,E,open,natural,garden
16,Eopennaturallake,1,E,open,natural,lake
17,Eopennaturalmountains,1,E,open,natural,mountains
18,Esmallnottoolbowl,1,E,small,nottool,bowl
19,Esmallnottoolcupcake,1,E,small,nottool,cupcake
20,Esmallnottoolflowers,1,E,small,nottool,flowers
21,Esmalltooldrill,1,E,small,tool,drill
22,Esmalltoolhairbrush,1,E,small,tool,hairbrush
23,Esmalltoolwateringcan,1,E,small,tool,wateringcan
24,Rbignottoolchair,1,R,big,nottool,chair
25,Rbignottoollamppost,1,R,big,nottool,lamppost
26,Rbignottooltv,1,R,big,nottool,tv
27,Rbigtoolguitar,1,R,big,tool,guitar
28,Rbigtoolleafblower,1,R,big,tool,leafblower
29,Rbigtoolumbrella,1,R,big,tool,umbrella
30,Rclosedmanmadebathroom,1,R,closed,manmade,bathroom
31,Rclosedmanmadeconferencehall,1,R,closed,manmade,conferencehall
32,Rclosedmanmadelivingroom,1,R,closed,manmade,livingroom
33,Rclosednaturalcave,1,R,closed,natural,cave
34,Rclosednaturalforestccanopy,1,R,closed,natural,forestccanopy
35,Rclosednaturalicecave,1,R,closed,natural,icecave
36,Ropenmanmadecity,1,R,open,manmade,city
37,Ropenmanmadefarmhouse,1,R,open,manmade,farmhouse
38,Ropenmanmadesuburbs,1,R,open,manmade,suburbs
39,Ropennaturalgarden,1,R,open,natural,garden
40,Ropennaturallake,1,R,open,natural,lake
41,Ropennaturalmountains,1,R,open,natural,mountains
42,Rsmallnottoolbowl,1,R,small,nottool,bowl
43,Rsmallnottoolcupcake,1,R,small,nottool,cupcake
44,Rsmallnottoolflowers,1,R,small,nottool,flowers
45,Rsmalltooldrill,1,R,small,tool,drill
46,Rsmalltoolhairbrush,1,R,small,tool,hairbrush
47,Rsmalltoolwateringcan,1,R,small,tool,wateringcan
48,Dbignottoolchair,1,D,big,nottool,chair
49,Dbignottoollamppost,1,D,big,nottool,lamppost
50,Dbignottooltv,1,D,big,nottool,tv
51,Dbigtoolguitar,1,D,big,tool,guitar
52,Dbigtoolleafblower,1,D,big,tool,leafblower
53,Dbigtoolumbrella,1,D,big,tool,umbrella
54,Dclosedmanmadebathroom,1,D,closed,manmade,bathroom
55,Dclosedmanmadeconferencehall,1,D,closed,manmade,conferencehall
56,Dclosedmanmadelivingroom,1,D,closed,manmade,livingroom
57,Dclosednaturalcave,1,D,closed,natural,cave
58,Dclosednaturalforestccanopy,1,D,closed,natural,forestccanopy
59,Dclosednaturalicecave,1,D,closed,natural,icecave
60,Dopenmanmadecity,1,D,open,manmade,city
61,Dopenmanmadefarmhouse,1,D,open,manmade,farmhouse
62,Dopenmanmadesuburbs,1,D,open,manmade,suburbs
63,Dopennaturalgarden,1,D,open,natural,garden
64,Dopennaturallake,1,D,open,natural,lake
65,Dopennaturalmountains,1,D,open,natural,mountains
66,Dsmallnottoolbowl,1,D,small,nottool,bowl
67,Dsmallnottoolcupcake,1,D,small,nottool,cupcake
68,Dsmallnottoolflowers,1,D,small,nottool,flowers
69,Dsmalltooldrill,1,D,small,tool,drill
70,Dsmalltoolhairbrush,1,D,small,tool,hairbrush
71,Dsmalltoolwateringcan,1,D,small,tool,wateringcan
72,Ebignottoolchair,2,E,big,nottool,chair
73,Ebignottoollamppost,2,E,big,nottool,lamppost
74,Ebignottooltv,2,E,big,nottool,tv
75,Ebigtoolguitar,2,E,big,tool,guitar
76,Ebigtoolleafblower,2,E,big,tool,leafblower
77,Ebigtoolumbrella,2,E,big,tool,umbrella
78,Eclosedmanmadebathroom,2,E,closed,manmade,bathroom
79,Eclosedmanmadeconferencehall,2,E,closed,manmade,conferencehall
80,Eclosedmanmadelivingroom,2,E,closed,manmade,livingroom
81,Eclosednaturalcave,2,E,closed,natural,cave
82,Eclosednaturalforestccanopy,2,E,closed,natural,forestccanopy
83,Eclosednaturalicecave,2,E,closed,natural,icecave
84,Eopenmanmadecity,2,E,open,manmade,city
85,Eopenmanmadefarmhouse,2,E,open,manmade,farmhouse
86,Eopenmanmadesuburbs,2,E,open,manmade,suburbs
87,Eopennaturalgarden,2,E,open,natural,garden
88,Eopennaturallake,2,E,open,natural,lake
89,Eopennaturalmountains,2,E,open,natural,mountains
90,Esmallnottoolbowl,2,E,small,nottool,bowl
91,Esmallnottoolcupcake,2,E,small,nottool,cupcake
92,Esmallnottoolflowers,2,E,small,nottool,flowers
93,Esmalltooldrill,2,E,small,tool,drill
94,Esmalltoolhairbrush,2,E,small,tool,hairbrush
95,Esmalltoolwateringcan,2,E,small,tool,wateringcan
96,Rbignottoolchair,2,R,big,nottool,chair
97,Rbignottoollamppost,2,R,big,nottool,lamppost
98,Rbignottooltv,2,R,big,nottool,tv
99,Rbigtoolguitar,2,R,big,tool,guitar
100,Rbigtoolleafblower,2,R,big,tool,leafblower
101,Rbigtoolumbrella,2,R,big,tool,umbrella
102,Rclosedmanmadebathroom,2,R,closed,manmade,bathroom
103,Rclosedmanmadeconferencehall,2,R,closed,manmade,conferencehall
104,Rclosedmanmadelivingroom,2,R,closed,manmade,livingroom
105,Rclosednaturalcave,2,R,closed,natural,cave
106,Rclosednaturalforestccanopy,2,R,closed,natural,forestccanopy
107,Rclosednaturalicecave,2,R,closed,natural,icecave
108,Ropenmanmadecity,2,R,open,manmade,city
109,Ropenmanmadefarmhouse,2,R,open,manmade,farmhouse
110,Ropenmanmadesuburbs,2,R,open,manmade,suburbs
111,Ropennaturalgarden,2,R,open,natural,garden
112,Ropennaturallake,2,R,open,natural,lake
113,Ropennaturalmountains,2,R,open,natural,mountains
114,Rsmallnottoolbowl,2,R,small,nottool,bowl
115,Rsmallnottoolcupcake,2,R,small,nottool,cupcake
116,Rsmallnottoolflowers,2,R,small,nottool,flowers
117,Rsmalltooldrill,2,R,small,tool,drill
118,Rsmalltoolhairbrush,2,R,small,tool,hairbrush
119,Rsmalltoolwateringcan,2,R,small,tool,wateringcan
120,Dbignottoolchair,2,D,big,nottool,chair
121,Dbignottoollamppost,2,D,big,nottool,lamppost
122,Dbignottooltv,2,D,big,nottool,tv
123,Dbigtoolguitar,2,D,big,tool,guitar
124,Dbigtoolleafblower,2,D,big,tool,leafblower
125,Dbigtoolumbrella,2,D,big,tool,umbrella
126,Dclosedmanmadebathroom,2,D,closed,manmade,bathroom
127,Dclosedmanmadeconferencehall,2,D,closed,manmade,conferencehall
128,Dclosedmanmadelivingroom,2,D,closed,manmade,livingroom
129,Dclosednaturalcave,2,D,closed,natural,cave
130,Dclosednaturalforestccanopy,2,D,closed,natural,forestccanopy
131,Dclosednaturalicecave,2,D,closed,natural,icecave
132,Dopenmanmadecity,2,D,open,manmade,city
133,Dopenmanmadefarmhouse,2,D,open,manmade,farmhouse
134,Dopenmanmadesuburbs,2,D,open,manmade,suburbs
135,Dopennaturalgarden,2,D,open,natural,garden
136,Dopennaturallake,2,D,open,natural,lake
137,Dopennaturalmountains,2,D,open,natural,mountains
138,Dsmallnottoolbowl,2,D,small,nottool,bowl
139,Dsmallnottoolcupcake,2,D,small,nottool,cupcake
140,Dsmallnottoolflowers,2,D,small,nottool,flowers
141,Dsmalltooldrill,2,D,small,tool,drill
142,Dsmalltoolhairbrush,2,D,small,tool,hairbrush
143,Dsmalltoolwateringcan,2,D,small,tool,wateringcan
144,Ebignottoolchair,3,E,big,nottool,chair
145,Ebignottoollamppost,3,E,big,nottool,lamppost
146,Ebignottooltv,3,E,big,nottool,tv
147,Ebigtoolguitar,3,E,big,tool,guitar
148,Ebigtoolleafblower,3,E,big,tool,leafblower
149,Ebigtoolumbrella,3,E,big,tool,umbrella
150,Eclosedmanmadebathroom,3,E,closed,manmade,bathroom
